CNPJ;Razao Social;Endereco;Telefone;Regime
12.361.627/0001;LONDON BISTRO GUARATUBA LTDA Fantasia: AGUA MARINHA BISTRO;;(41) 99860-2727;SIMPLES NACIONAL
12.487.515/0001;MAR SUL NAVEGACAO LTDA. Fantasia: MAR SUL NAVEGACAO;;(41) 98812-7659;PRESUMIDO OU LUCRO REAL
12.520.241/0001;C. HOLUB EMPREENDIMENTOS IMOBILIARIOS;AVENIDA VISCONDE DO RIO BRANCO, 2577 , BAIRRO;(41) 3019-2975;PRESUMIDO OU LUCRO REAL
12.542.134/0001;ELETRICA NOSLEN LTDA Fantasia: ELETRICA NOSLEN;AVENIDA PESCACA, 910 , BAIRRO PICARRAS;(41) 3442-2586;SIMPLES NACIONAL
12.542.175/0001;RECICLAGEM GUIMARAES LTDA Fantasia: RECICLAGEM GUIMARAES;;(41) 3472-1750;SIMPLES NACIONAL
12.542.175/0002;RECICLAGEM GUIMARAES LTDA Fantasia: RECICLAGEM GUIMARAES;;(41) 99708-9557;SIMPLES NACIONAL
12.542.175/0003;RECICLAGEM GUIMARAES LTDA Fantasia: RECICLAGEM GUIMARAES;;(41) 99708-9557;SIMPLES NACIONAL
12.552.079/0001;ADVANCE SUL REFRIGERACAO LTDA AVENIDA RUI BARBOSA, 376 , BAIRRO PICARRAS;AVENIDA RUI BARBOSA, 376 , BAIRRO PICARRAS;(41) 3333-3939;SIMPLES NACIONAL
12.566.043/0001;ALVES DE FREITAS LTDA RUA OCTAVIANO HENRIQUE DE CARVALHO, 2130 ,;;"(41) 3442-1572
(41) 3442-1572";SIMPLES NACIONAL
12.577.736/0001;ISACRIR ANTONIO BETLINSKI Fantasia: MARCENARIA SANTO ANTONIO;;(41) 3442-5568;SIMPLES NACIONAL
12.579.353/0001;ANDREZA SANTOS FLORENCIO DE MELO MENEZES 00807971480;AVENIDA PARANA, 136 , BAIRRO COHAPAR II;(41) 3442-5855;PRESUMIDO OU LUCRO REAL
12.622.751/0001;ODETE ALVES DE SOUZA - MINIMERCADO LTDA;AVENIDA ILHA DO MEL, 30 , BAIRRO MIRIM;(41) 3442-7457;SIMPLES NACIONAL
12.631.231/0001;MAIESKI YAMADA REDE BARBER LTDA Fantasia: BARBEARIA DO JAPA;AVENIDA AVENIDA DO PATRIARCA, 1080 , BAIRRO;"(41) 99841-8210 
deisemaieski91";SIMPLES NACIONAL
12.644.664/0001;M. SIMOES GUARATUBA RUA TEIXEIRA SOARES, 902 , BAIRRO COHAPAR;;(41) 3472-3308;SIMPLES NACIONAL
12.654.450/0001;HELDER CLAUDIO DA SILVA LANCHONETE Fantasia: LANCHONETE AVENIDA;AVENIDA;(41) 3443-1105;SIMPLES NACIONAL
12.740.372/0001;SANDRA MARA LAGO RESTAURANTE Fantasia: RESTAURANTE REITZ;;(47) 98814-0692;SIMPLES NACIONAL
12.768.935/0001;ANTONIO ALTAIR BAZEI Fantasia: LANCHONETE SOBRE AS ONDAS;;(41) 3442-1058;SIMPLES NACIONAL
12.805.386/0001;SATIN - REPRESENTACOES COMERCIAIS LTDA RUA URUGUAI, 18 , BAIRRO NEREIDAS;;(41) 98753-3960;LUCRO PRESUMIDO
12.824.465/0001;PRIM SACOLAO DE FRUTAS E VERDURAS LTDA Fantasia: SACOLAO DE FRUTAS E VERDURAS PRIM;AVENIDA VISCONDE DO RIO BRANCO, 3334 , BAIRRO;(41) 3443-1479;SIMPLES NACIONAL
12.831.922/0001;V. DE SOUZA BRAGA - PISCINAS E BOMBAS Fantasia: AGUATEC PISCINAS;AVENIDA MINAS GERAIS, 355 , BAIRRO COROADOS;(41) 98490-1885;PRESUMIDO OU LUCRO REAL
12.837.881/0001;SABOR & SAUDE GUARATUBA LTDA Fantasia: SABOR & SAUDE;;(41) 3472-3636;SIMPLES NACIONAL
12.846.470/0001;ARAUG - CONVENIENCIAS LTDA Fantasia: ARAUG CONVENIENCIAS;AVENIDA PARANAVAI, S/N TERREO, BAIRRO;(41) 3229-3564;SIMPLES NACIONAL
12.886.450/0001;PIRAN & PIRAN LTDA Fantasia: BOM APETITE 3;AVENIDA VISCONDE DO RIO BRANCO, 1726;(41) 3442-1572;SIMPLES NACIONAL
12.915.949/0001;J. A. VALERIO & CIA. LTDA Fantasia: SORVETERIA CALCADAO;AVENIDA 29 DE ABRIL, 900 , BAIRRO CENTRO;(41) 3472-1308;SIMPLES NACIONAL
12.931.314/0001;MARIA ELOISA RODRIGUES CABREIRA Fantasia: LANCHONETE DO GAUCHO;;(41) 3472-2891;SIMPLES NACIONAL
12.931.314/0002;MARIA ELOISA RODRIGUES CABREIRA Fantasia: RESTAURANTE CABANA GAUCHA;;(41) 99806-6985;SIMPLES NACIONAL
12.935.135/0001;POUSADA TRANSSTAR LTDA Fantasia: POUSADA TRANSSTAR;AVENIDA ATLANTICA, 70 , BAIRRO CIDADE;(41) 99975-5339;PRESUMIDO OU LUCRO REAL
12.935.155/0001;CIRLENE M. DA COSTA & CIA. LTDA. RUA MONSENHOR LAMARTINE, 38-B , BAIRRO;;(41) 3472-4802;SIMPLES NACIONAL
12.963.653/0001;E. GOJAVA & CIA LTDA Fantasia: GUARA TERRAPLENAGEM;;(41) 3472-1252;PRESUMIDO OU LUCRO REAL
12.988.974/0001;GRANDO MODAS LTDA Fantasia: GLORIA MODAS;AVENIDA VISCONDE DO RIO BRANCO, 422 , BAIRRO;"(41) 3472-3691
grando2008";SIMPLES NACIONAL
13.024.293/0001;PANIFICADORA CINCO PAES LTDA Fantasia: PANIFICADORA CINCO PAES;AVENIDA PESCACA, 1946 , BAIRRO PICARRAS;"(41) 99772-8424 
(41) 99667-3230";SIMPLES NACIONAL
13.107.881/0001;VALDECI MORAES DA SILVA LTDA Fantasia: M.S EMPREITEIRA;;(41) 3442-1058;SIMPLES NACIONAL
13.120.054/0001;SANDRA RIBEIRO DE GODOI Fantasia: SORVETES PALATTO;;(41) 99686-7560;SIMPLES NACIONAL
13.120.108/0001;POUSADA BOB LTDA Fantasia: POUSADA BOB;;(41) 3443-1479;SIMPLES NACIONAL
13.150.699/0001;DP 2000 COMERCIO E SERVICOS LTDA AVENIDA VISCONDE DO RIO BRANCO, 4320 , BAIRRO;AVENIDA VISCONDE DO RIO BRANCO, 4320 , BAIRRO;"(41) 3442-6767
gilbertowagner.dp2000";SIMPLES NACIONAL
13.223.265/0001;SILVA & BACH LTDA Fantasia: DONO DAS AGUAS;AVENIDA BEIRA MAR, 901 , BAIRRO PRAINHA;(41) 3452-6060;PRESUMIDO OU LUCRO REAL
13.244.159/0001;EDUARDO MAIDL 04298495914 AVENIDA AGUA VERDE, 713 , BAIRRO PICARRAS;AVENIDA AGUA VERDE, 713 , BAIRRO PICARRAS;(41) 3442-2838;PRESUMIDO OU LUCRO REAL
13.268.260/0001;VIVERE DE PARVO LTDA Fantasia: BISTRO VIVERE PARVO;;"(41) 3442-1572
(41) 3442-1572";SIMPLES NACIONAL
13.270.407/0001;ANA PAULA ARAUJO COSTA - LANCHONETE Fantasia: DONA CHICA PASTEIS ESPECIAIS;;(41) 3442-1058;SIMPLES NACIONAL
13.274.151/0001;EDER DE FREITAS DE SOUZA Fantasia: ES TELECOM;AVENIDA DAMIAO BOTELHO DE SOUZA, 522 ,;(41) 3472-1252;PRESUMIDO OU LUCRO REAL
13.337.070/0002;MEGA LITORAL PRODUTORA DE EVENTOS LTDA;;(51) 98515-0176;SIMPLES NACIONAL
13.397.147/0001;13.397.147 MARGARIDA COSTA MIRANDA 10A AVENIDA PARANA, 7 , BAIRRO COHAPAR;AVENIDA PARANA, 7 , BAIRRO COHAPAR;"(47) 98873-8888 
guidaradiologia2010";PRESUMIDO OU LUCRO REAL
13.426.537/0001;CER BITTENCOURT Fantasia: CEB SISTEMAS E TECNOLOGIA;;(41) 3472-1252;PRESUMIDO OU LUCRO REAL
13.444.058/0001;OCEANO RESTAURANTE E CHOPPERIA LTDA Fantasia: OCEANO RESTAURANTE E CHOPPERIA;AVENIDA CURITIBA, 63 , BAIRRO CENTRO;(41) 3442-1490;SIMPLES NACIONAL
13.457.671/0001;EDITORA SAINT-CLAIR LTDA. Fantasia: JORNAL DA HORA;AVENIDA VISCONDE DO RIO BRANCO, 5005 , BAIRRO;(41) 3442-6049;PRESUMIDO OU LUCRO REAL
13.466.502/0001;E S DE OLIVEIRA ACESSORIOS Fantasia: ELIANE ACESSORIOS;;(41) 99574-7749;SIMPLES NACIONAL
13.470.807/0001;ANTONIO ALBERTINO G CORDEIRO LTDA Fantasia: CONCRETIZZA;AVENIDA 29 DE ABRIL, 716 , BAIRRO CENTRO;(41) 3443-6060;SIMPLES NACIONAL
13.470.852/0001;ENGENHARIA CONCRETIZZA LTDA. Fantasia: CONCRETIZZA ENGENHARIA;AVENIDA 29 DE ABRIL, 716 , BAIRRO CENTRO;(41) 3443-6060;PRESUMIDO OU LUCRO REAL
13.508.150/0001;AMAURI DE SOUZA VIEIRA LTDA Fantasia: SERVI MONITORAL - LIMPEZA E;;(41) 3472-1252;LUCRO PRESUMIDO
13.629.849/0001;IVANIR CABRAL DOS SANTOS RUA LONDRINA, 1795 , BAIRRO BREJATUBA;;(66) 98111-9665;PRESUMIDO OU LUCRO REAL
13.637.597/0001;FABIO TEIDI OZAKI RESTAURANTE LTDA AVENIDA 29 DE ABRIL, 397-B , BAIRRO CENTRO;AVENIDA 29 DE ABRIL, 397-B , BAIRRO CENTRO;"(41) 3472-1644
(41) 3472-1644";PRESUMIDO OU LUCRO REAL
13.762.957/0001;LAERTON ARNALDO MATIAS Fantasia: GUARAPISOS;;(41) 3472-3308;PRESUMIDO OU LUCRO REAL
13.767.178/0001;BRAULIO ROBERTO DE OLIVEIRA 64479846972;;(41) 99876-6815;PRESUMIDO OU LUCRO REAL
13.790.573/0003;DAYANE DA PIEDADE BICHIBICHI PORTELA Fantasia: MADP MEDICINA DIAGNOSTICA;;"(41) 3472-3967
(41) 3473-1371";PRESUMIDO OU LUCRO REAL
13.799.893/0002;SALVAGUARDA MONITORAMENTO DE ALARMES E COMERCIO LTDA;;(41) 99115-5736;SIMPLES NACIONAL
13.805.703/0001;SERGIO LUIZ VALERIO DE SOUZA RUA JUVEVE, SN QUADRA2A LOTE 19, BAIRRO;;(41) 3472-1572;PRESUMIDO OU LUCRO REAL
13.809.294/0001;ROSANA DEMORE - VESTUARIO Fantasia: MIUCHA KID'S;;(41) 3442-1281;SIMPLES NACIONAL
13.823.875/0001;COMERCIAL FEMORAT LTDA RUA GENEROSO MARQUES, 457 , BAIRRO CENTRO;;"(41) 3442-1572
(41) 3442-1572";SIMPLES NACIONAL
13.846.089/0001;CARLOS EDUARDO FERRAZ MENDES 17291828953;AVENIDA Parana, 3875 SALA 6, BAIRRO Eliane;(41) 3442-2313;PRESUMIDO OU LUCRO REAL
13.846.559/0001;ILETE DO NASCIMENTO Fantasia: GELO DRINK;AVENIDA GUAIRA, 1264 , BAIRRO PICARRAS;(41) 3472-1252;SIMPLES NACIONAL
13.919.040/0001;VALMOR JOSE KURPEL Fantasia: KURPELTUR;AVENIDA VISCONDE DO RIO BRANCO, 169 , BAIRRO;(41) 3443-1105;SIMPLES NACIONAL
13.936.347/0001;PUSCH & SOUZA LTDA Fantasia: ENCONTRO DOS AMIGOS;;(41) 3472-1252;SIMPLES NACIONAL
13.936.416/0001;ARTUR CARLOS DOS SANTOS & CIA LTDA Fantasia: ELABORE;;(41) 99178-7447;SIMPLES NACIONAL
13.968.081/0001;ROSEVALDO BARBOSA DOS SANTOS E CIA LTDA;AVENIDA VISCONDE DO RIO BRANCO, 4020 , BAIRRO;(41) 3442-1058;SIMPLES NACIONAL
13.982.712/0001;ESQUADRIA MIRANDA LTDA Fantasia: ESQUADRIA MIRANDA;AVENIDA DAMIAO BOTELHO DE SOUZA, 1744 ,;"(41) 3442-5872
(41) 98537-0526";PRESUMIDO OU LUCRO REAL
14.036.078/0001;RAMON SANTA FELICIDADE DE CAMPOS VIDAL;;(41) 99876-6844;SIMPLES NACIONAL
14.043.364/0001;GRAFICA & CARIMBOS GUARATUBA LTDA Fantasia: GRAFICA & CARIMBOS GUARATUBA;;(41) 3472-6537;SIMPLES NACIONAL
14.074.329/0001;UBIRATAN PERES 20682557900 RUA Visconde de Guarapuava, 843 , BAIRRO;;(41) 3442-6129;PRESUMIDO OU LUCRO REAL
14.081.524/0001;ROSANE APARECIDA PERES 02046491963 RUA Visconde de Guarapuava, 843 , BAIRRO;;(41) 3442-6129;PRESUMIDO OU LUCRO REAL
14.084.698/0001;CELSO MICHEL WENDLER LTDA Fantasia: CALIENTE.COM.BR;;(41) 98711-6609;PRESUMIDO OU LUCRO REAL
14.117.012/0001;M. A. PRADO DA SILVA Fantasia: VIA PRADO;;"(41) 3472-1252
(41) 3472-3621";PRESUMIDO OU LUCRO REAL
14.117.042/0001;F T SOUZA & CIA LTDA PRACA CEL. ALEXANDRE MAFRA, 91 SLJ 1, BAIRRO;;(41) 3442-7622;SIMPLES NACIONAL
14.205.787/0001;RESTAURANTE BROT-PAO LTDA Fantasia: BROT POINT;AVENIDA ATLANTICA, SN QUIOSQ05, BAIRRO;"(41) 3472-2359
(41) 99211-7444";SIMPLES NACIONAL
14.252.144/0001;MULLER ADMINISTRACAO DE IMOVEIS LTDA Fantasia: MULLER IMOVEIS;AVENIDA 29 DE ABRIL, 805 , BAIRRO CENTRO;"(41) 3442-1572
(41) 3442-1572";SIMPLES NACIONAL
14.252.323/0001;CRISTINA DE SOUZA MOYSA & CIA. LTDA Fantasia: CARLINHOS THE FLASH;;"(41) 3442-1572
(41) 3442-1572";SIMPLES NACIONAL
14.285.000/0001;VITOR ELIAS SCHON 00461378906 RUA JOAO BATISTA PEDROSO, 10 , BAIRRO;;(41) 99650-2869;PRESUMIDO OU LUCRO REAL
14.333.125/0001;L. A. LOPES DOS SANTOS Fantasia: CONSTRUTORA LITORAL;;(41) 3472-1252;SIMPLES NACIONAL
14.351.906/0001;JOSE ADEMAR ALVES DOS REIS- LANCHONETE;AVENIDA PONTA GROSSA, S/N ANEXO IATE CLUBE;(41) 3443-1479;SIMPLES NACIONAL
14.497.368/0001;NEILA CLAUDIA SILVEIRA CALDEIRA Fantasia: AUTO ELETRICA SILVEIRA;;(41) 3442-1948;SIMPLES NACIONAL
14.522.261/0001;VITORIA 10 UTILIDADES DOMESTICAS LTDA PRACA CEL ALEXANDRE MAFRA, 282 , BAIRRO;;(41) 3442-1572;SIMPLES NACIONAL
14.522.261/0002;VITORIA 10 UTILIDADES DOMESTICAS LTDA RUA DR CARLOS CAVALCANTI, 39 , BAIRRO CENTRO;;"(41) 3442-1572
(41) 3442-1572";SIMPLES NACIONAL
14.524.180/0001;NILSON FERREIRA DOS ANJOS & CIA LTDA Fantasia: NILSON AUTO CENTER;;"(41) 3472-4842
(41) 99940-2612";SIMPLES NACIONAL
14.598.046/0001;EBENEZER MARMORES E GRANITOS LTDA Fantasia: EBENEZER MARMORES E GRANITOS;;(41) 3472-1252;SIMPLES NACIONAL
14.598.156/0001;JURANDI DA LUZ DOS SANTOS RUA 13 DE MAIO, 681 , BAIRRO BRJATUBA;;(41) 3472-1252;PRESUMIDO OU LUCRO REAL
14.635.060/0001;ELAINE MATTOS FOGACA DIAS RUA VIEIRA DOS SANTOS, 260 , BAIRRO CENTRO;;"(41) 99128-7632 
elainefdias75";SIMPLES NACIONAL
14.638.255/0001;LIDER COMERCIO DE PESCADOS LTDA PRACA CEL. AFONSO BOTELHO, 45 , BAIRRO;;(41) 99831-7412;PRESUMIDO OU LUCRO REAL
14.666.874/0001;TATIANE H DA CRUZ MOTOS Fantasia: SPPED MOTOS;;"(41) 3443-6105
(41) 99212-8509";PRESUMIDO OU LUCRO REAL
14.669.850/0002;ENEDIR DE CORDOVA & CIA LTDA RUA JOINVILE, 30 , BAIRRO PICARRAS;;(41) 3442-1572;SIMPLES NACIONAL
14.669.850/0001;ENEDIR DE CORDOVA & CIA LTDA RUA JOINVILE, 30 , BAIRRO PICARRAS;;(41) 3442-1572;SIMPLES NACIONAL
14.688.277/0001;LEIA MARGARETH WISCHRAL LTDA Fantasia: MARINA MORENA;AVENIDA DAMIAO BOTELHO DE SOUZA, 2780;(41) 3472-3087;SIMPLES NACIONAL
14.707.646/0001;SILVIO CESAR GONCALVES Fantasia: SILVIO INOX;;(41) 3443-6126;SIMPLES NACIONAL
14.716.579/0001;SIDNEI DA ROSA CARDOZO Fantasia: PVC COROADOS;AVENIDA MINAS GERAIS, 1672 , BAIRRO COROADOS;"(41) 3458-6011
(41) 99624-1231";SIMPLES NACIONAL
14.721.920/0001;GM UNIFORMES LTDA Fantasia: GM UNIFORMES;;(47) 3443-2200;SIMPLES NACIONAL
14.754.132/0001;RUBENS LOPES FERRE JUNIOR DIAS Fantasia: RESTAURANTE DONA ANGELA;AVENIDA VISCONDE DO RIO BRANCO, 2995 , BAIRRO;(41) 3443-1105;PRESUMIDO OU LUCRO REAL
14.760.603/0001;EAF - IDIOMAS LTDA. AVENIDA PONTA GROSSA, 581 , BAIRRO CENTRO;AVENIDA PONTA GROSSA, 581 , BAIRRO CENTRO;(41) 3443-6161;PRESUMIDO OU LUCRO REAL
14.766.280/0001;M M JAREK AVENIDA VISCONDE DO RIO BRANCO, 4120 , BAIRRO;AVENIDA VISCONDE DO RIO BRANCO, 4120 , BAIRRO;(41) 3472-6314;SIMPLES NACIONAL
14.782.652/0001;GERSON RABELO FERNANDES CABELEIREIROS;;(41) 3443-1105;SIMPLES NACIONAL
14.782.661/0001;CARLOS NICOLA BALSANO CARNES ASSADAS Fantasia: NO PONTO ASSADOS E CONVENIENCIAS;AVENIDA VISCONDE DE GUARAPUAVA, 255 , BAIRRO;(41) 3443-1105;SIMPLES NACIONAL
14.803.192/0001;WM MAQUINAS E FERRAMENTAS LTDA Fantasia: WM MAQUINAS E FERRAMENTAS;AVENIDA PARANA, 54 , BAIRRO COHAPAR;(41) 99984-0045;SIMPLES NACIONAL
14.811.168/0001;RUBENS CONTADOR - MULTIUTILIDADES LTDA;AVENIDA MINAS GERAIS, 740 , BAIRRO COROADOS;(41) 3472-6719;SIMPLES NACIONAL
14.818.869/0001;MARIO CORDEIRO MACHADO FILHO 35636505949;AVENIDA GUAIRA, 2079 , BAIRRO COHAPAR II;(41) 98509-3799;PRESUMIDO OU LUCRO REAL
14.846.167/0001;VERA ELISABETI FELISBINO LTDA Fantasia: VEREDAS;AVENIDA CURITIBA, 1243 , BAIRRO CENTRO;(41) 99802-5659;SIMPLES NACIONAL
14.963.142/0001;CONSTANTINO ENGENHARIA E EMPREENDIMENTOS IMOBILIARIOS LTDA;AVENIDA PONTA GROSSA, 1143 SALA 2 LOTE 0009A;(41) 99687-6356;SIMPLES NACIONAL
14.963.159/0001;MC MASTER CONSTRUCAO CIVIL LTDA RUA QUATIGUA, 186 QUADRA186 LOTE 7 CXPST 142,;;"(41) 3442-1572
(41) 3442-1572";SIMPLES NACIONAL
15.010.356/0001;PRISCILA VICHINHESKI AVENIDA Parana, 2339 , BAIRRO cohapar;AVENIDA Parana, 2339 , BAIRRO cohapar;(41) 99836-0958;SIMPLES NACIONAL
15.045.473/0001;WILMAR COSTA LOUREIRO LANCHONETE Fantasia: MINI MERCADO LOUREIRO;;(41) 3443-1105;SIMPLES NACIONAL
15.077.320/0001;MACEDONIA COMERCIO DE PESCADOS LTDA Fantasia: MACEDONIA COMERCIO DE PESCADOS;AVENIDA SANTA CLARA, 429 , BAIRRO PICARRAS;(41) 99978-2020;PRESUMIDO OU LUCRO REAL
15.078.831/0001;R. GUSZAKI Fantasia: GUSZAKI TRANSPORTES;"AVENIDA cubatao, 1375 CASA ;CASA ;CASA ;CASA,";(41) 99888-8190;SIMPLES NACIONAL
15.111.267/0001;ANTONIO CARLOS DA SILVA CONSTRUCOES Fantasia: FJPA CONSTRUCOES;;(41) 99854-5382;SIMPLES NACIONAL
15.183.581/0001;MARGARET CASTELLON RE LTDA Fantasia: CB LONAS;;(41) 3453-4258;SIMPLES NACIONAL
15.250.595/0001;C.P. ALBERTI RUA GUANABARA, S/N , BAIRRO VILA ELIANE;;(41) 99968-2536;SIMPLES NACIONAL
15.283.875/0001;ALEXANDRE SANTANA BATISTA - GUARATUBA Fantasia: PRESTADORA DE SERVICOS QUATRO;;(41) 3442-1058;PRESUMIDO OU LUCRO REAL
15.308.457/0001;ANDERSON WORELL BASTOS - COMERCIO DE MATERIAIS DE CONSTRUCAO;AVENIDA PARANA, 2563 , BAIRRO VILA ESPERANCA;(41) 99930-1572;SIMPLES NACIONAL
15.329.088/0002;LUCIANO ARIZA DOS SANTOS AVENIDA AVENIDA RIO GRANDE DO SUL, SN ,;AVENIDA AVENIDA RIO GRANDE DO SUL, SN ,;(41) 99983-2857;SIMPLES NACIONAL
15.346.925/0001;SERVICOS DE REBOQUE DE VEICULOS AGUIA LTDA;;(47) 99940-6464;LUCRO PRESUMIDO
15.389.994/0001;ELIANE CASSIA LOPES DOS SANTOS 03618812906;;(41) 3443-1804;PRESUMIDO OU LUCRO REAL
15.417.468/0001;JACSON LUIS DA SILVA- SERVICOS Fantasia: J.J. ENGENHARIA E CONSTRUCAO CIVIL;;(41) 99659-2069;PRESUMIDO OU LUCRO REAL
15.469.266/0001;VALDENICE KONRAD VILLA REAL Fantasia: HOTEL E POUSADA ESTRELA DO MAR;;"(41) 3442-1572
(41) 3442-1572";SIMPLES NACIONAL
15.469.324/0001;CONTHABIL SERVICOS DE CONTABILIDADE LTDA;;"(41) 3442-1572
(41) 3442-1572";SIMPLES NACIONAL
15.532.258/0001;CAROL FRANCO LTDA Fantasia: CAROL FRANCO;;(44) 99851-8639;SIMPLES NACIONAL
15.578.113/0001;PRISCILA SIMIONATO PEDROSO RUA CARLOS MAFRA, 1510 LOTE 19A10;;(48) 99190-3922;SIMPLES NACIONAL
15.598.839/0001;CRISTINE RENATA DOS PASSOS Fantasia: ESTOFARIA LITORAL;;(41) 3442-1725;SIMPLES NACIONAL
15.629.387/0001;I.G. CLEMENTE - PROMOCAO DE VENDAS Fantasia: ISATUR VENDAS E TURISMO;;"(41) 99608-3089 
isa.candeias90";SIMPLES NACIONAL
15.657.338/0001;MARIANNA GONZAGA DE OLIVEIRA MIRANDA LTDA;;"(41) 99786-7900 
mah.gomiranda91";PRESUMIDO OU LUCRO REAL
15.690.932/0002;CINTYA TIELLI HENRIQUE Fantasia: DOUTORADO BAR E RESTAURANTE;AVENIDA VINTE E NOVE DE ABRIL, 1017 LOJA 09 E;"(41) 3014-8599
(41) 99696-9184";SIMPLES NACIONAL
15.708.075/0001;BRUNO RIMON EUFLAUZINO DA SILVA ANDRIATTI 06530177906;;(41) 99813-8073;PRESUMIDO OU LUCRO REAL
15.712.249/0001;DIRCEU LAMARTINS DE SOUZA - VIDRACARIA Fantasia: VIDRACARIA SOUZA;;(41) 3442-1058;SIMPLES NACIONAL
15.732.519/0001;SINVAL FERNANDO DEBASTIANI Fantasia: SPEED COMUNICACAO VISUAL;AVENIDA PARANA, 1963 , BAIRRO FIGUEIRA;(41) 3472-2766;SIMPLES NACIONAL
15.786.984/0001;AJWK FARMACIA LTDA. AVENIDA 29 DE ABRIL, 1017 LOJA 09, BAIRRO;AVENIDA 29 DE ABRIL, 1017 LOJA 09, BAIRRO;(41) 3442-7021;SIMPLES NACIONAL
15.788.546/0001;LEANDRO DA ROSA ROOS - INFORMATICA Fantasia: STATION GAMES INFORMATICA;;(41) 3442-1058;PRESUMIDO OU LUCRO REAL
15.827.491/0001;LUCIMARA PEREIRA DOS SANTOS 05134864969;;(41) 99122-5384;PRESUMIDO OU LUCRO REAL
15.833.266/0001;KLAESENER COMERCIO DE COLCHOES LTDA Fantasia: COLCHOES ORTOBOM;AVENIDA PONTA GROSSA, 494 , BAIRRO CENTRO;(41) 3443-1017;SIMPLES NACIONAL
15.912.623/0001;BRASIL EXTINTORES LTDA RUA CAPITAO JOAO PEDRO, 93 QUADRA0000 LOTE;;(41) 99679-6643;SIMPLES NACIONAL
15.913.435/0001;R DE OLIVEIRA VIEIRA UTILIDADES Fantasia: MULT COISAS;;"(41) 99873-2090 
(41) 99744-9463";SIMPLES NACIONAL
16.514.566/0001;LUCAS RIBAS ACCO Fantasia: DIGITAL CENTER IMPRESSOES;;(41) 3472-3308;SIMPLES NACIONAL
16.538.398/0001;M. C. DA SILVA CARNEIRO COMERCIO DE ALARME;AVENIDA JOSE NICOLAU ABAGGE, 635 ANEXO SALA;(41) 3442-1058;PRESUMIDO OU LUCRO REAL
16.569.213/0001;POSTO NAUTICO AMBIENTAL LTDA Fantasia: POSTO NAUTICO AMBIENTAL;AVENIDA DAMIAO BOTELHO DE SOUZA, 1180 ,;(41) 3472-1252;LUCRO REAL
16.634.765/0001;L ZENZELUK LTDA Fantasia: ZENZELUK BEAUTY STORE;;(41) 99690-3496;SIMPLES NACIONAL
16.637.868/0001;PANIFICADORA REMPEL LTDA Fantasia: PANIFICADORA E LANCHERIA MABI;AVENIDA CURITIBA, 1122 , BAIRRO CENTRO;(46) 99902-4520;PRESUMIDO OU LUCRO REAL
16.690.031/0001;MARIA DA CONCEICAO GARCIA TESSER AVENIDA DAMIAO BOTELHO DE SOUZA, SN , BAIRRO;AVENIDA DAMIAO BOTELHO DE SOUZA, SN , BAIRRO;"(41) 3442-1572
(41) 3442-1572";PRESUMIDO OU LUCRO REAL
16.712.780/0001;WILLIAM MARAVIESKI & CIA LTDA Fantasia: PANIFICADORA E CONFEITARIA DOCE;;(41) 3442-5821;SIMPLES NACIONAL
16.733.085/0001;DENILSON JOSE COSTA 02082043932 RUA OTAVIANO HENRIQUE DE CARVALHO, 3747 ,;;"(41) 99978-7026 
denilsoncosta1975";PRESUMIDO OU LUCRO REAL
16.736.659/0001;ROBERTO FERREIRA REPRESENTACOES COMERCIAIS;AVENIDA DOS GUARAS, 833 CASA, BAIRRO;"(41) 99986-3723 
morenoroberto77";SIMPLES NACIONAL
16.737.004/0001;MARCENARIA OLIVEIRA E SILVA LTDA Fantasia: MARCENARIA SAO JOSE;;(41) 3442-1058;SIMPLES NACIONAL
16.737.042/0001;G. DOS SANTOS COMERCIO DE RESIDUO E SUCATA;;(41) 3442-1058;PRESUMIDO OU LUCRO REAL
16.753.205/0001;J.C.G. PINHEIRO CLINICA LTDA Fantasia: ODONTOCLIN CLINICA ODONTOLOGICA;;(41) 3443-1479;LUCRO PRESUMIDO
16.811.102/0001;ARTEMAR ACADEMIA LTDA Fantasia: ARTEMAR ACADEMIA;AVENIDA DR JOAO CANDIDO, 1275 SOBRELOJA,;(41) 99680-5280;SIMPLES NACIONAL
16.818.621/0001;WANDERLEY MODESTO DE OLIVEIRA 83031324900;AVENIDA VISCONDE DO RIO BRANCO, 7777 , BAIRRO;(41) 99959-3975;PRESUMIDO OU LUCRO REAL
16.911.136/0001;FAZ - INCORPORADORA E CONSTRUTORA LTDA.;AVENIDA BREJATUBA, 1177 , BAIRRO BREJATUBA;(41) 99616-2667;PRESUMIDO OU LUCRO REAL
16.925.176/0001;ROSANGELA PESCADOS LTDA RUA NEWTON DE SOUZA, S/N MERCADO MUNICIPAL;;(41) 98834-5311;PRESUMIDO OU LUCRO REAL
16.998.854/0001;PAULO SERGIO LOBO LINHARES 94174865949;;"(41) 98483-6538 
paulo-jesus64";PRESUMIDO OU LUCRO REAL
17.047.147/0001;ALEXANDRO DA SILVA BOIA Fantasia: INOVE DECORACOES DE GESSO;;(41) 3442-1058;SIMPLES NACIONAL
17.089.532/0001;JULIANA DA MATA MAXIMO Fantasia: FARMACIA MAXIMO'S;AVENIDA VISCONDE DO RIO BRANCO, 36 SALA F E G,;(41) 99995-3049;PRESUMIDO OU LUCRO REAL
